0	0	80	255	181
0	10	80	263	216
0	20	80	274	257
0	30	80	285	299
10	0	80	265	155
10	10	80	273	191
10	20	80	284	231
10	30	80	296	275
20	0	80	276	127
20	10	80	287	162
20	20	80	298	203
20	30	80	309	245
30	0	80	287	94
30	10	80	300	130
30	20	80	312	173
30	30	80	325	217
0	0	70	210	181
0	10	70	219	217
0	20	70	227	258
0	30	70	238	300
10	0	70	220	155
20	0	70	231	125
30	0	70	240	93
0	0	60	165	182
0	10	60	173	217
0	20	60	180	258
0	30	60	188	299
10	0	60	174	154
20	0	60	183	125
30	0	60	193	92
0	0	50	120	181
0	10	50	127	219
0	20	50	133	259
0	30	50	140	301
10	0	50	129	154
20	0	50	136	123
30	0	50	144	91
